,date,url,city,job_title,company_name,location,summary
1,Error extracting date,/pagead/clk?mo=r&ad=-6NYlbfkN0D0x4EG9qRPaDifyXHrqCipCkdIONpHFIZfSzVuyVn_lq132SNZ50NY6JAGjyToxp1Qfh8pXtC2YNfKPR3gstp0J4q011xrVGLKHQWr_oBIuLUgoN_3FVDQRbScTB0wyaDpBQhi4MHJQe4lm1k_ntZl1xULgKaJ9lhZXE29NvRuf5FWjA7SczUxZrrlocpgmw0SyWaUF2kn8gpL6qoEauc_Xw6k1Bqpr2djIIOJ0akmNNWPCYIXbCF3Z2_PI5j-5cueovY_ZzU2TJkjdN85RHGw1BmGOQGoyFSDBf4bsmdxqYYTcqE-heSV4dR2FKcu9wBeQEHxmRAvcoDj8FNXW1ggCoaoL8V978TKS5lSWaOzCtALaSH8xYxhpmZ6FhJ1lcGnCQYmjpxJHFggXBIuCaC1UFxnk91c8v0Z_MfVl1KFrDkhh052GHVL0lhMQxg4PJY=&vjs=3&p=1&sk=&fvj=0,New+York,Public Relations Account Supervisor,Wachsman,"New York, NY",Wachsman is a leading professional services firm for the blockchain industry. Originally founded as a Public Relations agency in December 2015 by David Wachsman...
2,Error extracting date,/pagead/clk?mo=r&ad=-6NYlbfkN0CWLHQcXKZoML5JiNgWzLdRBx2Zk2ulbs4JSq2m1zkJ9ZBHK4wDUs35NJ8ufokVzfkr_MCp6KrQHIpOI5ftaZ81zQk27MUqssnh4QeANbuJMItCC2Ki-B_GoSdGtfGTinu7I9eUe4dG7AYvq5n-6rROVHSkI9jJNLyU5ks8pomWikexv4j8aG5_PU7qYtFkkZLUeu_f8tUp-vjJFGStbhKVWmcxAECqzuvhq1egpcmo60AkdtRcZu9Yp0fe4NfMlCDeoWBuIja3lIFV3F_PwIHWmAPNsJSNnfznYftuIlKBfU1s7Puy7o7mnj328Qesj6mIZ4ntt-dm7E2hZ98PmqeN1KhEEDNMKWFYvfGzLtzkX3d_RF6aY_zXrz72O24GFb5W0tfSyxD-0CAZhsRTVh89GS6AUs4O32AwMUmubugwUYfn2ClYHt33OLDVRbpgE9WH46Q3Vw1MK1A7PQpURJvkMmS6FWvFAouaHxKdzKSidfzfS29jm11O6fedCRRUSYR87UCCC26YTFxR5qJEwiaBwuCwNMyvvwGQXRI0T_HnLlYXbWqgni8-CJ1GRh-tjzJLK1QCUeJHxonDYue9zOr7G3LOV8P3kTh5iHLSOE1ir5FxLQ47-G6sh5Kh0SjoNJvIVGcPuZJ129G4e-H5HWkxLtw9JkvwCQg1bGy4ZTsgIcRAMb8jjkFgPLSt1OUjngLO7sinhg6gRPvkn6Ce4n9uWI9YQMRsBBVfWuy6kzGi3DW26GYXs1JF_3RyHcHtdSAHSRB5XCGIh9XwGYjM60UIwEAyEHJtRGaIjtAVugypZ_jBorqZ_mlJV5rp42OTg-kY8FBtPQPvO8ECa5lT4J3KvkZNRtoe83tTZO5R3Ev6Of2cZAgW6QtHzLMXb3yjqrZkXhLkhoeoFQrI2pUWKGI4ox50KNLdrwqYeSzF5jX8LivDk2AlBvSe2g2PcY2G5jZckxG5z2RM17LHzDPIgYGa5ph7dge5fZ7VktNXti9JgcwYwsGJHlJhEWN1N-I-mts30Di3D_GSP80pwu_-RCt-_XF9f3fcBbnFlfRYHfntfQx-jBaZottPA4-7LubOa3dk4IEkuVTwuzpBIiku7BRxxC5dCbLccIY5zfbZegwpWe3iBT0uDCuWT_SkiKZ6FTv2wLjJrFqgz24cA2-ovVNgZe6R5rN23RyAv1FfcwmlBwHGztrFMMytcyOuvXiXBfetL3KnKpIhYJu67lLP96fOzy5FuulrTDDih9KHRiES4A==&vjs=3&p=2&sk=&fvj=0,New+York,Lead Blockchain Engineer,Blockchain Developers,"New York, NY","Lead Blockchain Engineer. Block Recruiters, the leading blockchain recruiting agency, is seeking a Lead Blockchain Engineer for our client, a company planning..."
3,Error extracting date,/pagead/clk?mo=r&ad=-6NYlbfkN0A2c6G3TbuJEMYHRyOJUCLPnuD_qQ0l8pfM9hhh-ES8wpmZY1sAXETMRisJHp1JZkuHxAAK93VWRxycbQ7FgSqdM_kQK5Vu3GbdAXe9l6XPwLGxk9zzZrpyIWMlhxrS_sQv6ER1mgp_ZxODH9foNhXtyTu-dpg3WmM-BKXC13_8kVcyCpCW0xhrUuwJjRjjR9ZTSMm-WNoeWhKKEymgPQTzey2xaViLuyPi_AWbO6002XwHhdz5LAeFEaa9Zj1mVuXvADEaHzUa8C3AgQtdJ398NPlpY0Ap--jlup4Fa796U4G03dWYTc2PZXLC6I-pJhHRpdK4OLO0-28AxZjRBx8wZLux4gzVf__maI12bs7YMt-UiUqXT2yP5sydTQuINnz22ts4Zfv8g6xRmbnW0WUGeawYDbbhCqN6laT41XGzYdMcmKH9Tg0B&vjs=3&p=3&sk=&fvj=1,New+York,Quantitative Software Engineer,Matrics,"New York, NY 10022 (Midtown area)",Job Description Matrics is seeking a talented enthusiastic and knowledgeable Quantitative Software Engineer to join its Analytic / Data Science technology...
4,23 days ago,/company/US-Blue-Ocean-Capital-LLC/jobs/Receptionist-b65078fb0fb90beb?fccid=5323c2bf42fd6967&vjs=3,New+York,Receptionist,US Blue Ocean Capital LLC,"New York, NY","In addition, we look at industries such as fintech, blockchain technology, healthcare, education, environmental tech, real estate, etc. to power entrepreneurs..."
5,7 days ago,/rc/clk?jk=2adf302b0e674129&fccid=cee9e9033f39bb17&vjs=3,New+York,Latin America Sales Representative,Paxful Inc,"New York, NY","Powered by people and blockchain technology, not big banks, we offer support for a payment system that empowers merchants and ecommerce shoppers...."
6,30+ days ago,/rc/clk?jk=3821d655f63e8123&fccid=c3c98aa2beea188e&vjs=3,New+York,Blockchain Strategist,Consensys,"New York, NY",Demonstrated passion for blockchain technology. We are a team of ex-consultants and tech / blockchain fanatics....
7,7 days ago,/rc/clk?jk=3b35d48cce77b6b7&fccid=cee9e9033f39bb17&vjs=3,New+York,Financial Assistant,Paxful Inc,"New York, NY","Powered by people and blockchain technology, not big banks, we offer support for a payment system that empowers merchants and ecommerce shoppers...."
8,7 days ago,/rc/clk?jk=f9eeb8f12dd6899e&fccid=cee9e9033f39bb17&vjs=3,New+York,Sales Representative,Paxful Inc,"New York, NY","Powered by people and blockchain technology, not big banks, we offer support for a payment system that empowers merchants and ecommerce shoppers...."
9,25 days ago,/rc/clk?jk=6cf656e02fdd4652&fccid=9a24f2b383ba23bc&vjs=3,New+York,"Analyst - Blockchain, Strategic Advisory Group",Wachsman,"New York, NY","Wachsman is a leading professional services firm for the blockchain industry. As the blockchain industry continues to gain mainstream traction, we are reaching..."
10,29 days ago,/company/The-Groh/jobs/Director-Operation-426eef842b759a8a?fccid=2de83c9ec0151000&vjs=3,New+York,Director of Operations (Early Stage Co-Founder Potential),The Groh,"New York, NY",Chance to get in at the ground floor of a blockchain based marketplace committed to improving the way an entire industry conducts operations as it relates to...
